square_index,square_name,run1_count,run1_pct,run2_count,run2_pct,run3_count,run3_pct,run4_count,run4_pct,run5_count,run5_pct,run6_count,run6_pct,run7_count,run7_pct,run8_count,run8_pct,run9_count,run9_pct,run10_count,run10_pct
0,GO,27,2.7000,37,3.7000,31,3.1000,32,3.2000,28,2.8000,31,3.1000,31,3.1000,32,3.2000,26,2.6000,25,2.5000
1,Mediterranean Avenue,21,2.1000,21,2.1000,31,3.1000,23,2.3000,26,2.6000,28,2.8000,24,2.4000,20,2.0000,19,1.9000,25,2.5000
2,Community Chest,17,1.7000,27,2.7000,18,1.8000,19,1.9000,18,1.8000,21,2.1000,17,1.7000,18,1.8000,18,1.8000,25,2.5000
3,Baltic Avenue,23,2.3000,19,1.9000,23,2.3000,26,2.6000,19,1.9000,25,2.5000,22,2.2000,24,2.4000,18,1.8000,23,2.3000
4,Income Tax,25,2.5000,24,2.4000,24,2.4000,17,1.7000,23,2.3000,17,1.7000,26,2.6000,21,2.1000,17,1.7000,29,2.9000
5,Reading Railroad,29,2.9000,24,2.4000,37,3.7000,26,2.6000,33,3.3000,32,3.2000,36,3.6000,37,3.7000,33,3.3000,30,3.0000
6,Oriental Avenue,26,2.6000,14,1.4000,16,1.6000,23,2.3000,24,2.4000,23,2.3000,27,2.7000,17,1.7000,20,2.0000,28,2.8000
7,Chance,7,0.7000,14,1.4000,8,0.8000,9,0.9000,6,0.6000,10,1.0000,3,0.3000,13,1.3000,10,1.0000,11,1.1000
8,Vermont Avenue,19,1.9000,30,3.0000,25,2.5000,24,2.4000,24,2.4000,16,1.6000,17,1.7000,20,2.0000,27,2.7000,29,2.9000
9,Connecticut Avenue,25,2.5000,27,2.7000,23,2.3000,29,2.9000,21,2.1000,26,2.6000,27,2.7000,32,3.2000,22,2.2000,22,2.2000
10,Jail,64,6.4000,45,4.5000,61,6.1000,63,6.3000,64,6.4000,67,6.7000,63,6.3000,57,5.7000,66,6.6000,50,5.0000
11,St. Charles Place,22,2.2000,30,3.0000,30,3.0000,23,2.3000,22,2.2000,28,2.8000,28,2.8000,30,3.0000,17,1.7000,22,2.2000
12,Electric Company,22,2.2000,30,3.0000,29,2.9000,21,2.1000,25,2.5000,26,2.6000,27,2.7000,27,2.7000,24,2.4000,34,3.4000
13,States Avenue,25,2.5000,36,3.6000,17,1.7000,21,2.1000,23,2.3000,23,2.3000,33,3.3000,24,2.4000,19,1.9000,19,1.9000
14,Virginia Avenue,30,3.0000,23,2.3000,27,2.7000,29,2.9000,22,2.2000,29,2.9000,28,2.8000,18,1.8000,31,3.1000,22,2.2000
15,Pennsylvania Railroad,33,3.3000,23,2.3000,26,2.6000,25,2.5000,36,3.6000,26,2.6000,21,2.1000,28,2.8000,26,2.6000,38,3.8000
16,St. James Place,26,2.6000,18,1.8000,28,2.8000,34,3.4000,38,3.8000,25,2.5000,25,2.5000,30,3.0000,33,3.3000,18,1.8000
17,Community Chest,31,3.1000,30,3.0000,28,2.8000,22,2.2000,24,2.4000,24,2.4000,25,2.5000,33,3.3000,27,2.7000,29,2.9000
18,Tennessee Avenue,32,3.2000,31,3.1000,27,2.7000,27,2.7000,33,3.3000,20,2.0000,26,2.6000,30,3.0000,25,2.5000,25,2.5000
19,New York Avenue,22,2.2000,31,3.1000,36,3.6000,32,3.2000,30,3.0000,35,3.5000,30,3.0000,21,2.1000,35,3.5000,27,2.7000
20,Free Parking,31,3.1000,25,2.5000,22,2.2000,25,2.5000,31,3.1000,37,3.7000,27,2.7000,23,2.3000,42,4.2000,28,2.8000
21,Kentucky Avenue,23,2.3000,23,2.3000,21,2.1000,33,3.3000,22,2.2000,33,3.3000,36,3.6000,27,2.7000,27,2.7000,28,2.8000
22,Chance,9,0.9000,7,0.7000,7,0.7000,12,1.2000,11,1.1000,6,0.6000,13,1.3000,11,1.1000,11,1.1000,5,0.5000
23,Indiana Avenue,36,3.6000,28,2.8000,26,2.6000,39,3.9000,34,3.4000,30,3.0000,25,2.5000,26,2.6000,26,2.6000,23,2.3000
