square_index,square_name,run1_count,run1_pct,run2_count,run2_pct,run3_count,run3_pct,run4_count,run4_pct,run5_count,run5_pct,run6_count,run6_pct,run7_count,run7_pct,run8_count,run8_pct,run9_count,run9_pct,run10_count,run10_pct
0,GO,29283,2.9283,29364,2.9364,29150,2.9150,29204,2.9204,29252,2.9252,29122,2.9122,29193,2.9193,28706,2.8706,29305,2.9305,29437,2.9437
1,Mediterranean Avenue,20088,2.0088,20268,2.0268,20519,2.0519,20469,2.0469,20219,2.0219,20259,2.0259,20319,2.0319,20269,2.0269,20114,2.0114,20129,2.0129
2,Community Chest,17873,1.7873,17931,1.7931,18108,1.8108,18090,1.8090,17924,1.7924,17976,1.7976,17693,1.7693,17964,1.7964,17808,1.7808,17883,1.7883
3,Baltic Avenue,20334,2.0334,20398,2.0398,20349,2.0349,20365,2.0365,20357,2.0357,20623,2.0623,20484,2.0484,20702,2.0702,20549,2.0549,20254,2.0254
4,Income Tax,22149,2.2149,22063,2.2063,21942,2.1942,22171,2.2171,22068,2.2068,22106,2.2106,22272,2.2272,21859,2.1859,22014,2.2014,22005,2.2005
5,Reading Railroad,27841,2.7841,28064,2.8064,27751,2.7751,27957,2.7957,28110,2.8110,27936,2.7936,27718,2.7718,28345,2.8345,28062,2.8062,27859,2.7859
6,Oriental Avenue,21548,2.1548,21561,2.1561,21497,2.1497,21298,2.1298,21173,2.1173,21448,2.1448,21400,2.1400,21317,2.1317,21365,2.1365,21782,2.1782
7,Chance,8473,0.8473,8453,0.8453,8429,0.8429,8561,0.8561,8515,0.8515,8453,0.8453,8494,0.8494,8497,0.8497,8538,0.8538,8566,0.8566
8,Vermont Avenue,22019,2.2019,22076,2.2076,22340,2.2340,22186,2.2186,21938,2.1938,22101,2.2101,21910,2.1910,22073,2.2073,21990,2.1990,21753,2.1753
9,Connecticut Avenue,21795,2.1795,21780,2.1780,21734,2.1734,21687,2.1687,21856,2.1856,21777,2.1777,22123,2.2123,21743,2.1743,21811,2.1811,22012,2.2012
10,Jail,111706,11.1706,110336,11.0336,111382,11.1382,111156,11.1156,111630,11.1630,110556,11.0556,110875,11.0875,110806,11.0806,110893,11.0893,111056,11.1056
11,St. Charles Place,25325,2.5325,25626,2.5626,25585,2.5585,25695,2.5695,25526,2.5526,25517,2.5517,25483,2.5483,25686,2.5686,25510,2.5510,25552,2.5552
12,Electric Company,26058,2.6058,26274,2.6274,26159,2.6159,25998,2.5998,26185,2.6185,26200,2.6200,26175,2.6175,26114,2.6114,25987,2.5987,26054,2.6054
13,States Avenue,21683,2.1683,21707,2.1707,21782,2.1782,21816,2.1816,22012,2.2012,21931,2.1931,21798,2.1798,21850,2.1850,21757,2.1757,21859,2.1859
14,Virginia Avenue,24539,2.4539,24341,2.4341,24350,2.4350,24303,2.4303,24403,2.4403,24185,2.4185,24227,2.4227,24278,2.4278,24559,2.4559,24180,2.4180
15,Pennsylvania Railroad,26721,2.6721,26665,2.6665,26427,2.6427,26591,2.6591,26445,2.6445,26480,2.6480,26598,2.6598,26468,2.6468,26055,2.6055,26560,2.6560
16,St. James Place,26719,2.6719,26888,2.6888,26784,2.6784,26722,2.6722,26610,2.6610,27026,2.7026,26860,2.6860,27062,2.7062,26926,2.6926,27071,2.7071
17,Community Chest,23238,2.3238,23213,2.3213,23245,2.3245,23327,2.3327,23273,2.3273,23109,2.3109,23178,2.3178,23064,2.3064,23452,2.3452,23269,2.3269
18,Tennessee Avenue,28231,2.8231,28208,2.8208,28412,2.8412,28433,2.8433,28071,2.8071,28429,2.8429,28113,2.8113,28196,2.8196,28077,2.8077,28263,2.8263
19,New York Avenue,28237,2.8237,28398,2.8398,28293,2.8293,27848,2.7848,28391,2.8391,28282,2.8282,28252,2.8252,28297,2.8297,28306,2.8306,28031,2.8031
